ID Clients;Numero de compte;Identifiant operation;Type de transaction;Status operation;Localisation;Date;Montant;Target
34219;58012398;OP67M7N;ATM;Validé;Fatick;06/06/2023 13:40;220000;Normal
10123;5890123;OP23L2O;Paiement en ligne;Validé;Dakar;08/06/2023 15:40;500000;Normal
18567;58673421;OP51G8P;ATM;Validé;Kaolack;10/06/2023 12:20;250000;Normal
23456;58098765;OP88S9Q;Paiement électronique;En attente;Thiès;12/06/2023 16:40;400000;Normal
29987;58123456;OP14J1R;ATM;Validé;Tambacounda;14/06/2023 11:10;180000;Normal
34219;58012398;OP62K3S;ATM;Validé;Kolda;16/06/2023 13:30;250000;Normal
10123;5890123;OP75M6T;ATM;En attente;Dakar;18/06/2023 10:10;350000;Normal
10123;5890123;OP38P7U;Paiement en ligne;Validé;Saint Louis;20/06/2023 14:40;420000;Normal
18567;58673421;OP92I8V;Paiement électronique;Validé;Ziguinchor;22/06/2023 12:10;380000;Normal
23456;58098765;OP46L2W;ATM;Validé;Thiès;24/06/2023 16:20;300000;Normal
29987;58123456;OP19S7X;ATM;En attente;Fatick;26/06/2023 11:30;200000;Normal
34219;58012398;OP67N8Y;ATM;Validé;Tambacounda;28/06/2023 13:40;220000;Normal
10123;5890123;OP23M3Z;Paiement en ligne;Validé;Dakar;30/06/2023 15:10;500000;Normal
18567;58673421;OP51H9A;ATM;Validé;Kaolack;02/07/2023 12:20;250000;Normal
23456;58098765;OP88T1B;Paiement électronique;En attente;Saint Louis;04/07/2023 16:40;400000;Normal
29987;58123456;OP14K2C;ATM;Validé;Kolda;06/07/2023 11:10;180000;Normal
34219;58012398;OP62L4D;ATM;Validé;Fatick;08/07/2023 13:30;250000;Normal
10123;5890123;OP75N7E;ATM;En attente;Dakar;10/07/2023 10:40;350000;Normal
10123;5890123;OP38Q8F;Paiement en ligne;Validé;Thiès;12/07/2023 14:20;420000;Normal
18567;58673421;OP92J1G;Paiement électronique;Validé;Ziguinchor;14/07/2023 12:10;380000;Normal
23456;58098765;OP46M3H;ATM;Validé;Saint Louis;16/07/2023 16:10;300000;Normal
29987;58123456;OP19T8I;ATM;En attente;Tambacounda;18/07/2023 11:20;200000;Normal
34219;58012398;OP67O9J;ATM;Validé;Kolda;20/07/2023 13:40;220000;Normal
10123;5890123;OP23N4K;Paiement en ligne;Validé;Dakar;22/07/2023 15:40;500000;Normal
18567;58673421;OP51I1L;ATM;Validé;Kaolack;24/07/2023 12:20;250000;Normal
23456;58098765;OP88U2M;Paiement électronique;En attente;Thiès;26/07/2023 16:40;400000;Normal
29987;58123456;OP14L3N;ATM;Validé;Fatick;28/07/2023 11:10;180000;Normal
34219;58012398;OP62M5O;ATM;Validé;Tambacounda;30/07/2023 13:30;250000;Normal
10123;5890123;OP75P8P;ATM;En attente;Dakar;01/08/2023 10:10;350000;Normal
10123;5890123;OP38R9Q;Paiement en ligne;Validé;Saint Louis;03/08/2023 14:40;420000;Normal
18567;58673421;OP92K2R;Paiement électronique;Validé;Ziguinchor;05/08/2023 12:10;380000;Normal
23456;58098765;OP46N5S;ATM;Validé;Thiès;07/08/2023 16:20;300000;Normal
29987;58123456;OP19U7T;ATM;En attente;Kolda;09/08/2023 11:20;200000;Normal
34219;58012398;OP67P1U;ATM;Validé;Fatick;11/08/2023 13:40;220000;Normal
10123;5890123;OP23O3V;Paiement en ligne;Validé;Dakar;13/08/2023 15:10;500000;Normal
18567;58673421;OP51J8W;ATM;Validé;Kaolack;15/08/2023 12:20;250000;Normal
23456;58098765;OP88V1X;Paiement électronique;En attente;Saint Louis;17/08/2023 16:40;400000;Normal
29987;58123456;OP14M2Y;ATM;Validé;Tambacounda;19/08/2023 11:10;180000;Normal
34219;58012398;OP62N4Z;ATM;Validé;Kolda;21/08/2023 13:30;250000;Normal
10123;5890123;OP75Q9A;ATM;En attente;Dakar;23/08/2023 10:40;350000;Normal
10123;5890123;OP38S1B;Paiement en ligne;Validé;Thiès;25/08/2023 14:20;420000;Normal
18567;58673421;OP92L2C;Paiement électronique;Validé;Ziguinchor;27/08/2023 12:10;380000;Normal
23456;58098765;OP46P5D;ATM;Validé;Saint Louis;29/08/2023 16:10;300000;Normal
29987;58123456;OP19V8E;ATM;En attente;Fatick;31/08/2023 11:30;200000;Normal
34219;58012398;OP67Q2F;ATM;Validé;Tambacounda;02/09/2023 13:40;220000;Normal
10123;5890123;OP23P4G;Paiement en ligne;Validé;Dakar;04/09/2023 15:40;500000;Normal
18567;58673421;OP51K1H;ATM;Validé;Kaolack;06/09/2023 12:20;250000;Normal
23456;58098765;OP88W2I;Paiement électronique;En attente;Thiès;08/09/2023 16:40;400000;Normal
29987;58123456;OP14N3J;ATM;Validé;Kolda;10/09/2023 11:10;180000;Normal
34219;58012398;OP62P5K;ATM;Validé;Fatick;12/09/2023 13:30;250000;Normal
10123;5890123;OP75R1L;ATM;En attente;Dakar;14/09/2023 10:10;350000;Normal
10123;5890123;OP38T2M;Paiement en ligne;Validé;Saint Louis;16/09/2023 14:40;420000;Normal
18567;58673421;OP92M3N;Paiement électronique;Validé;Ziguinchor;18/09/2023 12:10;380000;Normal
23456;58098765;OP46Q4O;ATM;Validé;Thiès;20/09/2023 16:20;300000;Normal
29987;58123456;OP19W9P;ATM;En attente;Tambacounda;22/09/2023 11:20;200000;Normal
34219;58012398;OP67R1Q;ATM;Validé;Kolda;24/09/2023 13:40;220000;Normal
10123;5890123;OP23Q5R;Paiement en ligne;Validé;Dakar;26/09/2023 15:10;500000;Normal
18567;58673421;OP51L2S;ATM;Validé;Kaolack;28/09/2023 12:20;250000;Normal
23456;58098765;OP88X3T;Paiement électronique;En attente;Saint Louis;30/09/2023 16:40;400000;Normal
29987;58123456;OP14O4U;ATM;Validé;Fatick;02/10/2023 11:10;180000;Normal
34219;58012398;OP62Q5V;ATM;Validé;Tambacounda;04/10/2023 13:30;250000;Normal
10123;5890123;OP75S1W;ATM;En attente;Dakar;06/10/2023 10:40;350000;Normal
10123;5890123;OP38U2X;Paiement en ligne;Validé;Thiès;08/10/2023 14:20;420000;Normal
18567;58673421;OP92N4Y;Paiement électronique;Validé;Ziguinchor;10/10/2023 12:10;380000;Normal
23456;58098765;OP46R5Z;ATM;Validé;Saint Louis;12/10/2023 16:10;300000;Normal
29987;58123456;OP19X1A;ATM;En attente;Kolda;14/10/2023 11:20;200000;Normal
34219;58012398;OP67S2B;ATM;Validé;Fatick;16/10/2023 13:40;220000;Normal
10123;5890123;OP23R6C;Paiement en ligne;Validé;Dakar;18/10/2023 15:40;500000;Normal
18567;58673421;OP51M3D;ATM;Validé;Kaolack;20/10/2023 12:20;250000;Normal
23456;58098765;OP88Y4E;Paiement électronique;En attente;Thiès;22/10/2023 16:40;400000;Normal
29987;58123456;OP14P5F;ATM;Validé;Tambacounda;24/10/2023 11:10;180000;Normal
34219;58012398;OP62R6G;ATM;Validé;Kolda;26/10/2023 13:30;250000;Normal
10123;5890123;OP75T2H;ATM;En attente;Dakar;28/10/2023 10:10;350000;Normal
10123;5890123;OP38V3I;Paiement en ligne;Validé;Saint Louis;30/10/2023 14:40;420000;Normal
18567;58673421;OP92P5J;Paiement électronique;Validé;Ziguinchor;01/11/2023 12:10;380000;Normal
23456;58098765;OP46S1K;ATM;Validé;Thiès;03/11/2023 16:20;300000;Normal
29987;58123456;OP19Y2L;ATM;En attente;Fatick;05/11/2023 11:30;200000;Normal
34219;58012398;OP67T3M;ATM;Validé;Tambacounda;07/11/2023 13:40;220000;Normal
10123;5890123;OP23S4N;Paiement en ligne;Validé;Dakar;09/11/2023 15:10;500000;Normal
18567;58673421;OP51N4O;ATM;Validé;Kaolack;11/11/2023 12:20;250000;Normal
23456;58098765;OP88Z5P;Paiement électronique;En attente;Saint Louis;13/11/2023 16:40;400000;Normal
29987;58123456;OP14Q6R;ATM;Validé;Kolda;15/11/2023 11:10;180000;Normal
34219;58012398;OP62S7S;ATM;Validé;Fatick;17/11/2023 13:30;250000;Normal
10123;5890123;OP75U1T;ATM;En attente;Dakar;19/11/2023 10:40;350000;Normal
10123;5890123;OP38W2U;Paiement en ligne;Validé;Thiès;21/11/2023 14:20;420000;Normal
18567;58673421;OP92Q6V;Paiement électronique;Validé;Ziguinchor;23/11/2023 12:10;380000;Normal
23456;58098765;OP46T1W;ATM;Validé;Saint Louis;25/11/2023 16:10;300000;Normal
29987;58123456;OP19Z2X;ATM;En attente;Tambacounda;27/11/2023 11:20;200000;Normal
34219;58012398;OP67U3Y;ATM;Validé;Kolda;29/11/2023 13:40;220000;Normal
10123;5890123;OP23T4Z;Paiement en ligne;Validé;Dakar;01/12/2023 15:40;500000;Normal
18567;58673421;OP51P5A;ATM;Validé;Kaolack;03/12/2023 12:20;250000;Normal
23456;58098765;OP88A1B;Paiement électronique;En attente;Thiès;05/12/2023 16:40;400000;Normal
29987;58123456;OP14R2C;ATM;Validé;Fatick;07/12/2023 11:10;180000;Normal
34219;58012398;OP62T3D;ATM;Validé;Tambacounda;09/12/2023 13:30;250000;Normal
10123;5890123;OP75V4E;ATM;En attente;Dakar;11/12/2023 10:10;350000;Normal
10123;5890123;OP38X5F;Paiement en ligne;Validé;Saint Louis;13/12/2023 14:40;420000;Normal
18567;58673421;OP92R7G;Paiement électronique;Validé;Ziguinchor;15/12/2023 12:10;380000;Normal
23456;58098765;OP46U1H;ATM;Validé;Thiès;17/12/2023 16:20;300000;Normal
29987;58123456;OP19A2I;ATM;En attente;Kolda;19/12/2023 11:20;200000;Normal
34219;58012398;OP67V3J;ATM;Validé;Fatick;21/12/2023 13:40;220000;Normal
10123;5890123;OP23U4K;Paiement en ligne;Validé;Dakar;23/12/2023 15:10;500000;Normal
18567;58673421;OP51Q5L;ATM;Validé;Kaolack;25/12/2023 12:20;250000;Normal
23456;58098765;OP88B2M;Paiement électronique;En attente;Saint Louis;27/12/2023 16:40;400000;Normal
29987;58123456;OP14S6N;ATM;Validé;Tambacounda;29/12/2023 11:10;180000;Normal
34219;58012398;OP62U4O;ATM;Validé;Kolda;31/12/2023 13:30;250000;Normal
10123;5890123;OP75W5P;ATM;En attente;Dakar;02/01/2024 10:40;350000;Normal
10123;5890123;OP38Y6Q;Paiement en ligne;Validé;Thiès;04/01/2024 14:20;420000;Normal
18567;58673421;OP92S8R;Paiement électronique;Validé;Ziguinchor;06/01/2024 12:10;380000;Normal
23456;58098765;OP46V1S;ATM;Validé;Saint Louis;08/01/2024 16:10;300000;Normal
29987;58123456;OP19B3T;ATM;En attente;Fatick;10/01/2024 11:30;200000;Normal
34219;58012398;OP67W4U;ATM;Validé;Tambacounda;12/01/2024 13:40;220000;Normal
10123;5890123;OP23V5V;Paiement en ligne;Validé;Dakar;14/01/2024 15:40;500000;Normal
18567;58673421;OP51R6W;ATM;Validé;Kaolack;16/01/2024 12:20;250000;Normal
23456;58098765;OP88C2X;Paiement électronique;En attente;Thiès;18/01/2024 16:40;400000;Normal
29987;58123456;OP14T7Y;ATM;Validé;Kolda;20/01/2024 11:10;180000;Normal
34219;58012398;OP62V5Z;ATM;Validé;Fatick;22/01/2024 13:30;250000;Normal
10123;5890123;OP75X1A;ATM;En attente;Dakar;24/01/2024 10:10;350000;Normal
10123;5890123;OP38Z2B;Paiement en ligne;Validé;Saint Louis;26/01/2024 14:40;420000;Normal
18567;58673421;OP92T9C;Paiement électronique;Validé;Ziguinchor;28/01/2024 12:10;380000;Normal
23456;58098765;OP46W1D;ATM;Validé;Thiès;30/01/2024 16:20;300000;Normal
29987;58123456;OP19C3E;ATM;En attente;Tambacounda;01/02/2024 11:20;200000;Normal
34219;58012398;OP67X4F;ATM;Validé;Kolda;03/02/2024 13:40;220000;Normal
10123;5890123;OP23W5G;Paiement en ligne;Validé;Dakar;05/02/2024 15:10;500000;Normal
18567;58673421;OP51S7H;ATM;Validé;Kaolack;07/02/2024 12:20;250000;Normal
23456;58098765;OP88D2I;Paiement électronique;En attente;Saint Louis;09/02/2024 16:40;400000;Normal
29987;58123456;OP14U8J;ATM;Validé;Fatick;11/02/2024 11:10;180000;Normal
34219;58012398;OP62W6K;ATM;Validé;Tambacounda;13/02/2024 13:30;250000;Normal
10123;5890123;OP75Y2L;ATM;En attente;Dakar;15/02/2024 10:40;350000;Normal
10123;5890123;OP39A3M;Paiement en ligne;Validé;Thiès;17/02/2024 14:20;420000;Normal
18567;58673421;OP92U1N;Paiement électronique;Validé;Ziguinchor;19/02/2024 12:10;380000;Normal
23456;58098765;OP46X2O;ATM;Validé;Saint Louis;21/02/2024 16:10;300000;Normal
29987;58123456;OP19D4P;ATM;En attente;Kolda;23/02/2024 11:20;200000;Normal
34219;58012398;OP67Y5Q;ATM;Validé;Fatick;25/02/2024 13:40;220000;Normal
10123;5890123;OP23X6R;Paiement en ligne;Validé;Dakar;27/02/2024 15:40;500000;Normal
18567;58673421;OP51T8S;ATM;Validé;Kaolack;29/02/2024 12:20;250000;Normal
10345;58901549;OP26G8M;ATM;Validé;Dakar;25/01/2024 12:10;120000;Normal
10345;58901549;OP74F2K;Paiement en ligne;Validé;Thies;28/01/2024 15:45;250000;Normal
20891;58057532;OP13H9L;ATM;En attente;Saint Louis;02/02/2024 09:50;180000;Normal
15678;58123456;OP98R5E;Paiement électronique;Validé;Kaolack;05/02/2024 11:20;300000;Normal
30501;58601549;OP46A2C;ATM;Validé;Rufisque;08/02/2024 18:10;100000;Normal
10296;58012345;OP82B9N;Paiement en ligne;Validé;Dakar;10/02/2024 12:50;200000;Normal
40123;58987654;OP31E4S;ATM;Validé;Thies;12/02/2024 09:30;150000;Normal
10345;58901549;OP67D1F;Paiement électronique;En attente;Saint Louis;15/02/2024 14:40;220000;Normal
20891;58057532;OP24G6H;ATM;Validé;Dakar;18/02/2024 10:20;280000;Normal
15678;58123456;OP53C8L;Paiement en ligne;Validé;Touba;20/02/2024 16:10;120000;Normal
30501;58601549;OP94B3M;ATM;Validé;Thies;22/02/2024 11:50;180000;Normal
10296;58012345;OP19E7N;Paiement électronique;En attente;Rufisque;25/02/2024 17:40;250000;Normal
40123;58987654;OP48A1S;ATM;Validé;Dakar;28/02/2024 09:10;100000;Normal
10345;58901549;OP72R4F;Paiement en ligne;Validé;Saint Louis;02/03/2024 13:30;200000;Normal
20891;58057532;OP15H8L;ATM;En attente;Thies;05/03/2024 10:50;220000;Normal
15678;58123456;OP96C2E;Paiement électronique;Validé;Kaolack;08/03/2024 12:20;300000;Normal
30501;58601549;OP44B9M;ATM;Validé;Rufisque;11/03/2024 18:40;150000;Normal
10296;58012345;OP63A7N;Paiement en ligne;Validé;Dakar;14/03/2024 15:10;280000;Normal
40123;58987654;OP29E5S;ATM;Validé;Thies;17/03/2024 09:20;120000;Normal
10345;58901549;OP88D3F;Paiement électronique;En attente;Saint Louis;20/03/2024 14:10;250000;Normal
20891;58057532;OP42G1H;ATM;Validé;Dakar;23/03/2024 11:10;200000;Normal
15678;58123456;OP51C8L;Paiement en ligne;Validé;Touba;26/03/2024 17:00;180000;Normal
30501;58601549;OP75B2M;ATM;Validé;Thies;29/03/2024 12:40;220000;Normal
10296;58012345;OP39E4N;Paiement électronique;En attente;Rufisque;01/04/2024 18:20;300000;Normal
40123;58987654;OP56A9S;ATM;Validé;Dakar;04/04/2024 10:00;150000;Normal
10345;58901549;OP23G7F;Paiement en ligne;Validé;Saint Louis;07/04/2024 15:40;280000;Normal
20891;58057532;OP49H2L;ATM;En attente;Thies;10/04/2024 11:40;200000;Normal
15678;58123456;OP82C1E;Paiement électronique;Validé;Kaolack;13/04/2024 13:10;250000;Normal
30501;58601549;OP36B8M;ATM;Validé;Rufisque;16/04/2024 19:10;180000;Normal
10296;58012345;OP53A4N;Paiement en ligne;Validé;Dakar;19/04/2024 16:40;220000;Normal
40123;58987654;OP71E2S;ATM;Validé;Thies;22/04/2024 09:50;120000;Normal
10345;58901549;OP46D5F;Paiement électronique;En attente;Saint Louis;25/04/2024 14:20;300000;Normal
20891;58057532;OP58G3H;ATM;Validé;Dakar;28/04/2024 11:20;250000;Normal
15678;58123456;OP24C9L;Paiement en ligne;Validé;Touba;01/05/2024 17:50;200000;Normal
30501;58601549;OP67B1M;ATM;Validé;Thies;04/05/2024 18:50;220000;Normal
10296;58012345;OP84A7N;Paiement électronique;En attente;Rufisque;07/05/2024 19:10;280000;Normal
40123;58987654;OP32E1S;ATM;Validé;Dakar;10/05/2024 10:10;150000;Normal
10345;58901549;OP51G8F;Paiement en ligne;Validé;Saint Louis;13/05/2024 16:10;250000;Normal
20891;58057532;OP69H4L;ATM;En attente;Thies;16/05/2024 12:10;200000;Normal
15678;58123456;OP43C5E;Paiement électronique;Validé;Kaolack;19/05/2024 14:40;300000;Normal
30501;58601549;OP28B3M;ATM;Validé;Rufisque;22/05/2024 20:00;180000;Normal
10296;58012345;OP59A1N;Paiement en ligne;Validé;Dakar;25/05/2024 18:20;220000;Normal
40123;58987654;OP65E6S;ATM;Validé;Thies;28/05/2024 10:40;120000;Normal
10345;58901549;OP76D2F;Paiement électronique;En attente;Saint Louis;31/05/2024 15:50;280000;Normal
20891;58057532;OP33G9H;ATM;Validé;Dakar;03/06/2024 12:20;250000;Normal
15678;58123456;OP54C8L;Paiement en ligne;Validé;Touba;06/06/2024 19:40;200000;Normal
30501;58601549;OP72B5M;ATM;Validé;Thies;09/06/2024 21:10;220000;Normal
10296;58012345;OP85A3N;Paiement électronique;En attente;Rufisque;12/06/2024 20:50;300000;Normal
40123;58987654;OP38E4S;ATM;Validé;Dakar;15/06/2024 11:10;150000;Normal
10345;58901549;OP49G1F;Paiement en ligne;Validé;Saint Louis;18/06/2024 17:40;250000;Normal
20891;58057532;OP61H7L;ATM;En attente;Thies;21/06/2024 13:40;200000;Normal
15678;58123456;OP27C6E;Paiement électronique;Validé;Kaolack;24/06/2024 16:20;280000;Normal
30501;58601549;OP55B2M;ATM;Validé;Rufisque;27/06/2024 22:40;180000;Normal
10296;58012345;OP73A9N;Paiement en ligne;Validé;Dakar;30/06/2024 20:10;220000;Normal
40123;58987654;OP41E3S;ATM;Validé;Thies;03/07/2024 11:50;120000;Normal
10345;58901549;OP64D1F;Paiement électronique;En attente;Saint Louis;06/07/2024 18:50;300000;Normal
20891;58057532;OP35G2H;ATM;Validé;Dakar;09/07/2024 13:10;250000;Normal
15678;58123456;OP57C4L;Paiement en ligne;Validé;Touba;12/07/2024 21:20;200000;Normal
30501;58601549;OP71B8M;ATM;Validé;Thies;15/07/2024 23:40;220000;Normal
10296;58012345;OP48A5N;Paiement électronique;En attente;Rufisque;18/07/2024 22:50;280000;Normal
40123;58987654;OP59E1S;ATM;Validé;Dakar;21/07/2024 12:10;150000;Normal
10345;58901549;OP26G6F;Paiement en ligne;Validé;Saint Louis;24/07/2024 19:40;250000;Normal
20891;58057532;OP44H3L;ATM;En attente;Thies;27/07/2024 14:50;200000;Normal
15678;58123456;OP32C3E;Paiement électronique;Validé;Kaolack;30/07/2024 17:20;300000;Normal
30501;58601549;OP54B1M;ATM;Validé;Rufisque;02/08/2024 01:10;180000;Normal
10296;58012345;OP69A7N;Paiement en ligne;Validé;Dakar;05/08/2024 21:50;220000;Normal
40123;58987654;OP42E2S;ATM;Validé;Thies;08/08/2024 11:40;120000;Normal
10345;58901549;OP52D4F;Paiement électronique;En attente;Saint Louis;11/08/2024 20:10;280000;Normal
20891;58057532;OP36G9H;ATM;Validé;Dakar;14/08/2024 13:20;250000;Normal
15678;58123456;OP51C2L;Paiement en ligne;Validé;Touba;17/08/2024 23:20;200000;Normal
30501;58601549;OP65B5M;ATM;Validé;Thies;20/08/2024 02:40;220000;Normal
10296;58012345;OP28A3N;Paiement électronique;En attente;Rufisque;23/08/2024 23:50;300000;Normal
40123;58987654;OP53E1S;ATM;Validé;Dakar;26/08/2024 12:10;150000;Normal
10345;58901549;OP46G8F;Paiement en ligne;Validé;Saint Louis;29/08/2024 21:40;250000;Normal
20891;58057532;OP59H1L;ATM;En attente;Thies;01/09/2024 14:10;200000;Normal
15678;58123456;OP24C1E;Paiement électronique;Validé;Kaolack;04/09/2024 18:20;280000;Normal
30501;58601549;OP49B2M;ATM;Validé;Rufisque;07/09/2024 01:10;180000;Normal
10296;58012345;OP72A9N;Paiement en ligne;Validé;Dakar;10/09/2024 22:50;220000;Normal
40123;58987654;OP41E4S;ATM;Validé;Thies;13/09/2024 11:40;120000;Normal
10345;58901549;OP51D3F;Paiement électronique;En attente;Saint Louis;16/09/2024 20:50;300000;Normal
20891;58057532;OP35G5H;ATM;Validé;Dakar;19/09/2024 13:10;250000;Normal
15678;58123456;OP58C3L;Paiement en ligne;Validé;Touba;22/09/2024 00:20;200000;Normal
30501;58601549;OP71B9M;ATM;Validé;Thies;25/09/2024 02:40;220000;Normal
10296;58012345;OP44A1N;Paiement électronique;En attente;Rufisque;28/09/2024 23:50;280000;Normal
40123;58987654;OP59E3S;ATM;Validé;Dakar;01/10/2024 11:50;150000;Normal
10345;58901549;OP26G4F;Paiement en ligne;Validé;Saint Louis;04/10/2024 21:10;250000;Normal
20891;58057532;OP44H2L;ATM;En attente;Thies;07/10/2024 14:20;200000;Normal
15678;58123456;OP24C6E;Paiement électronique;Validé;Kaolack;10/10/2024 18:40;300000;Normal
30501;58601549;OP54B4M;ATM;Validé;Rufisque;13/10/2024 01:10;180000;Normal
10296;58012345;OP69A2N;Paiement en ligne;Validé;Dakar;16/10/2024 22:20;220000;Normal
40123;58987654;OP42E1S;ATM;Validé;Thies;19/10/2024 11:30;120000;Normal
